date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:23	22/22	---M--	200	added ('OK')	application/octet-stream	etag:%2216-5caf0ae80e1b7%22	https://delda-rian.webnikah.com/robots.txt		(from )
12:48:23	29321/29321	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Jul%202023%2005:48:17%20GMT	https://delda-rian.webnikah.com/	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/index.html	(from )
12:48:23	79888/79888	---M--	200	added ('OK')	text/css	etag:%2213810-5caf0a8536658%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/fontawesome-pro/css/font-awesome.min.css	(from https://delda-rian.webnikah.com/)
12:48:23	160392/160392	---M--	200	added ('OK')	text/css	etag:%2227288-5caf0a8597138%22	https://delda-rian.webnikah.com/template/nikah-bunga/css/bootstrap.min.css	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/css/bootstrap.min.css	(from https://delda-rian.webnikah.com/)
12:48:24	26053/26053	---M--	200	added ('OK')	text/css	etag:%2265c5-5caf0a8596198%22	https://delda-rian.webnikah.com/template/nikah-bunga/css/aos.css	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/css/aos.css	(from https://delda-rian.webnikah.com/)
12:48:24	4981/4981	---M--	200	added ('OK')	text/css	etag:%221375-5f3e96260e4c0%22	https://delda-rian.webnikah.com/template/nikah-bunga/css/main.css	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/css/main.css	(from https://delda-rian.webnikah.com/)
12:48:24	89947/89947	---M--	200	added ('OK')	application/javascript	etag:%2215f5b-5f3de782c1f00%22	https://delda-rian.webnikah.com/template/nikah-bunga/js/jquery.js	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/js/jquery.js	(from https://delda-rian.webnikah.com/)
12:48:25	293575/293575	---M--	200	added ('OK')	image/png	etag:%2247ac7-5caf0a8589678%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/img/ataskiri.png	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/img/ataskiri.png	(from https://delda-rian.webnikah.com/)
12:48:25	291189/291189	---M--	200	added ('OK')	image/png	etag:%2247175-5caf0a85886d8%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/img/ataskanan.png	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/img/ataskanan.png	(from https://delda-rian.webnikah.com/)
12:48:25	291778/291778	---M--	200	added ('OK')	image/png	etag:%22473c2-5caf0a8596198%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/img/kiribawah.png	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/img/kiribawah.png	(from https://delda-rian.webnikah.com/)
12:48:26	293047/293047	---M--	200	added ('OK')	image/png	etag:%22478b7-5caf0a85951f8%22	https://delda-rian.webnikah.com/template/nikah-bunga/assets/img/kananbawah.png	E:/EDITOR/POJECT%20RIAN/pernikahan/WEBSITE%20RIAN/delda-rian.webnikah.com/template/nikah-bunga/assets/img/kananbawah.png	(from https://delda-rian.webnikah.com/)
